"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","523.80","528.25","499.00","523.35","504.05","503.65","514.00","564.75","312.00",9983045,"5,131,248,453.90",117255
"18-Sep-2020","EQ","517.45","535.00","515.00","512.00","523.85","523.35","526.47","564.75","312.00",25685408,"13,522,472,626.55",253998
"17-Sep-2020","EQ","516.80","521.90","510.50","518.50","511.35","512.00","516.04","564.75","312.00",9959284,"5,139,398,549.00",98313
"16-Sep-2020","EQ","510.15","520.00","503.40","506.40","518.65","518.50","511.97","564.75","312.00",10080179,"5,160,749,003.10",114963
"15-Sep-2020","EQ","498.00","512.40","496.00","495.80","506.50","506.40","506.96","564.75","312.00",11686776,"5,924,724,941.50",118806
"14-Sep-2020","EQ","505.55","509.00","494.00","505.55","494.40","495.80","499.82","564.75","312.00",8041445,"4,019,313,027.10",117542
"11-Sep-2020","EQ","507.00","512.35","502.60","507.95","504.05","505.55","506.70","564.75","312.00",5190138,"2,629,849,837.90",61920
"10-Sep-2020","EQ","512.70","516.70","503.65","509.30","506.95","507.95","510.16","564.75","312.00",8572923,"4,373,576,131.15",107445
"09-Sep-2020","EQ","497.00","512.80","493.60","501.90","508.40","509.30","505.16","564.75","312.00",10532178,"5,320,477,402.10",132990
"08-Sep-2020","EQ","512.00","517.65","498.65","513.25","501.90","501.90","508.60","564.75","312.00",8519591,"4,333,101,459.20",108121
"07-Sep-2020","EQ","516.00","518.20","504.25","512.45","513.30","513.25","511.22","564.75","312.00",6320017,"3,230,918,669.70",72703
"04-Sep-2020","EQ","518.00","530.40","508.25","523.45","511.15","512.45","520.34","564.75","312.00",12380218,"6,441,970,405.80",137820
"03-Sep-2020","EQ","518.55","526.85","512.55","514.50","523.50","523.45","519.99","564.75","312.00",10052115,"5,226,998,297.45",95089
"02-Sep-2020","EQ","523.50","525.60","509.20","521.45","515.30","514.50","515.70","564.75","312.00",9636649,"4,969,584,206.35",125668
"01-Sep-2020","EQ","521.20","527.65","506.20","520.25","524.50","521.45","517.16","564.75","312.00",13861215,"7,168,476,538.15",147374
"31-Aug-2020","EQ","560.65","561.00","514.05","555.75","514.50","520.25","534.76","564.75","312.00",20056911,"10,725,619,075.40",220614
"28-Aug-2020","EQ","538.10","564.75","534.75","532.25","554.95","555.75","550.82","564.75","312.00",29018297,"15,983,928,693.55",272023
"27-Aug-2020","EQ","528.95","537.00","524.40","525.15","537.00","532.25","530.41","550.80","312.00",8564631,"4,542,765,432.45",96600
"26-Aug-2020","EQ","526.05","530.00","522.25","525.10","526.20","525.15","525.49","550.80","312.00",5206246,"2,735,819,362.55",52981
"25-Aug-2020","EQ","533.60","535.15","523.45","533.45","526.00","525.10","528.89","550.80","312.00",4414408,"2,334,743,969.35",57069
"24-Aug-2020","EQ","538.65","538.65","528.05","532.35","533.35","533.45","531.92","550.80","312.00",5675869,"3,019,123,249.85",69504
"21-Aug-2020","EQ","526.55","538.70","524.30","522.30","533.90","532.35","533.77","550.80","312.00",9833584,"5,248,891,984.90",120490
"20-Aug-2020","EQ","524.50","529.90","521.05","525.40","522.50","522.30","523.80","550.80","312.00",4886692,"2,559,625,741.50",67870
"19-Aug-2020","EQ","530.00","532.90","524.35","526.00","526.30","525.40","528.61","550.80","312.00",5415554,"2,862,696,481.65",60017
"18-Aug-2020","EQ","531.70","533.90","524.15","528.35","526.65","526.00","527.77","550.80","312.00",5556024,"2,932,275,041.10",58282
"17-Aug-2020","EQ","536.10","537.50","527.00","531.35","529.00","528.35","530.75","550.80","312.00",6657885,"3,533,699,854.15",77222
"14-Aug-2020","EQ","523.50","536.00","522.00","520.80","531.05","531.35","531.29","550.80","312.00",11787371,"6,262,529,033.95",135506
"13-Aug-2020","EQ","532.15","535.95","519.05","532.15","521.00","520.80","526.76","550.80","312.00",8730794,"4,599,027,377.80",95066
"12-Aug-2020","EQ","540.75","540.75","529.75","541.05","530.00","532.15","533.78","550.80","312.00",7407250,"3,953,835,534.80",83705
"11-Aug-2020","EQ","548.00","549.60","535.10","543.85","541.75","541.05","541.20","550.80","312.00",7774090,"4,207,337,244.50",91420
"10-Aug-2020","EQ","526.00","550.80","526.00","525.95","544.10","543.85","542.42","550.80","312.00",16271351,"8,825,962,336.05",189551
"07-Aug-2020","EQ","532.30","535.45","522.60","532.25","526.00","525.95","527.09","541.45","312.00",7275659,"3,834,958,352.65",86632
"06-Aug-2020","EQ","533.90","541.45","526.15","528.85","532.75","532.25","534.60","541.45","312.00",10920296,"5,837,958,092.85",117487
"05-Aug-2020","EQ","537.90","538.00","527.05","528.95","529.75","528.85","532.83","541.00","312.00",10928710,"5,823,144,347.55",113267
"04-Aug-2020","EQ","522.00","532.40","517.25","519.40","529.25","528.95","525.05","541.00","312.00",11950188,"6,274,448,713.55",152594
"03-Aug-2020","EQ","534.10","540.20","516.80","531.70","520.80","519.40","527.55","541.00","312.00",25348260,"13,372,480,935.60",235677
"31-Jul-2020","EQ","514.25","541.00","507.50","509.95","537.80","531.70","522.62","541.00","312.00",41253779,"21,560,239,683.80",469087
"30-Jul-2020","EQ","493.20","513.20","487.30","493.00","511.20","509.95","501.32","513.20","312.00",17535910,"8,791,105,327.25",202780
"29-Jul-2020","EQ","485.70","496.30","484.15","482.60","492.90","493.00","491.22","512.70","312.00",8531989,"4,191,068,703.60",102102
"28-Jul-2020","EQ","475.50","483.75","473.25","475.50","483.00","482.60","480.41","512.70","312.00",5917310,"2,842,747,216.15",67417
"27-Jul-2020","EQ","484.85","487.60","469.00","485.60","473.25","475.50","474.79","512.70","312.00",6112630,"2,902,188,102.00",84097
"24-Jul-2020","EQ","490.00","497.80","481.25","476.00","486.00","485.60","488.83","512.70","312.00",19812565,"9,684,954,181.10",220337
"23-Jul-2020","EQ","477.95","481.85","474.05","474.30","476.25","476.00","477.37","512.70","312.00",5416318,"2,585,602,467.30",70750
"22-Jul-2020","EQ","479.65","488.00","471.60","477.25","474.90","474.30","479.62","512.70","312.00",9848012,"4,723,338,064.35",106305
"21-Jul-2020","EQ","488.00","488.20","475.00","483.80","478.00","477.25","479.22","512.70","312.00",8471187,"4,059,539,047.45",121525
"20-Jul-2020","EQ","501.90","501.90","481.60","503.60","483.95","483.80","487.03","512.70","312.00",16111403,"7,846,688,266.60",200477
"17-Jul-2020","EQ","499.60","509.55","497.35","499.70","504.05","503.60","504.51","512.70","312.00",9592498,"4,839,551,238.90",111488
"16-Jul-2020","EQ","496.00","505.95","490.60","495.10","498.40","499.70","498.85","512.70","312.00",11263599,"5,618,871,073.70",144169
"15-Jul-2020","EQ","494.20","499.40","492.20","492.10","494.75","495.10","495.46","512.70","312.00",4710293,"2,333,750,178.15",54919
"14-Jul-2020","EQ","500.00","503.90","490.10","499.70","491.00","492.10","496.34","512.70","312.00",6997303,"3,473,046,068.00",92819
"13-Jul-2020","EQ","495.00","501.70","492.30","493.90","498.35","499.70","498.43","512.70","312.00",7504401,"3,740,427,379.00",95923
"10-Jul-2020","EQ","484.65","498.90","483.05","481.95","493.00","493.90","494.12","512.70","312.00",14899981,"7,362,356,437.25",169102
"09-Jul-2020","EQ","484.55","487.20","480.35","482.50","483.25","481.95","483.71","512.70","312.00",3184423,"1,540,345,537.40",50321
"08-Jul-2020","EQ","482.55","488.00","479.95","479.25","481.75","482.50","484.16","512.70","312.00",6279478,"3,040,260,473.60",97492
"07-Jul-2020","EQ","480.00","486.00","476.15","480.20","478.85","479.25","482.04","512.70","312.00",6793461,"3,274,712,517.45",83512
"06-Jul-2020","EQ","478.00","481.25","471.40","476.85","480.40","480.20","476.43","512.70","312.00",5995308,"2,856,353,118.60",78316
"03-Jul-2020","EQ","477.00","479.35","472.00","473.00","476.00","476.85","476.06","512.70","312.00",4666366,"2,221,482,563.20",54675
"02-Jul-2020","EQ","468.00","474.95","467.95","468.15","474.90","473.00","472.04","512.70","312.00",3732197,"1,761,752,494.75",44001
"01-Jul-2020","EQ","473.50","475.80","466.15","472.95","467.95","468.15","469.78","512.70","312.00",5984010,"2,811,164,661.85",65841
"30-Jun-2020","EQ","483.40","483.95","469.80","482.00","472.90","472.95","474.69","512.70","312.00",8339627,"3,958,738,427.45",112660
"29-Jun-2020","EQ","475.50","487.35","475.00","479.95","482.00","482.00","481.58","512.70","312.00",5727890,"2,758,413,132.40",76444
"26-Jun-2020","EQ","490.25","491.00","472.20","487.65","480.10","479.95","481.15","512.70","312.00",7492508,"3,605,005,592.15",100114
"25-Jun-2020","EQ","480.30","492.50","477.00","484.40","487.20","487.65","486.57","512.70","312.00",6954202,"3,383,700,283.85",82799
"24-Jun-2020","EQ","502.00","503.40","481.00","500.45","483.95","484.40","492.43","512.70","312.00",8567595,"4,218,935,083.80",111662
"23-Jun-2020","EQ","493.20","503.00","489.50","493.20","500.00","500.45","498.29","512.70","312.00",10732868,"5,348,064,460.10",127180
"22-Jun-2020","EQ","492.20","501.20","486.00","488.10","493.50","493.20","493.49","512.70","312.00",9204207,"4,542,202,138.70",128098
"19-Jun-2020","EQ","486.80","491.95","485.20","484.25","487.95","488.10","488.68","512.70","312.00",8114876,"3,965,591,608.00",113388
"18-Jun-2020","EQ","485.65","488.50","483.00","485.65","484.45","484.25","485.20","512.70","312.00",4077225,"1,978,265,556.00",53105
"17-Jun-2020","EQ","484.15","489.75","479.10","483.40","484.80","485.65","485.04","512.70","312.00",8222224,"3,988,143,942.55",100228
"16-Jun-2020","EQ","489.40","493.50","476.50","485.80","483.40","483.40","486.06","512.70","312.00",11249453,"5,467,934,255.30",147533
"15-Jun-2020","EQ","481.00","489.40","472.70","480.10","484.15","485.80","482.41","512.70","312.00",10727543,"5,175,121,480.90",133156
"12-Jun-2020","EQ","455.00","481.90","455.00","473.65","478.80","480.10","475.83","512.70","312.00",11499860,"5,471,942,972.00",145048
"11-Jun-2020","EQ","490.00","493.80","469.10","499.15","475.00","473.65","481.15","512.70","312.00",18547537,"8,924,143,671.10",251481
"10-Jun-2020","EQ","502.50","507.00","493.55","500.75","499.75","499.15","500.72","512.70","312.00",10636665,"5,325,950,821.75",135548
"09-Jun-2020","EQ","492.00","512.70","492.00","489.00","498.45","500.75","505.48","512.70","312.00",25884208,"13,084,013,547.80",297673
"08-Jun-2020","EQ","498.75","498.75","485.05","494.25","488.70","489.00","490.86","511.00","312.00",9182445,"4,507,324,287.90",146148
"05-Jun-2020","EQ","501.00","511.00","492.20","494.85","494.40","494.25","503.63","511.00","312.00",22798422,"11,481,901,490.00",250282
"04-Jun-2020","EQ","473.00","498.00","472.10","476.15","496.00","494.85","489.44","504.80","312.00",19100370,"9,348,456,565.55",240611
"03-Jun-2020","EQ","474.95","481.60","473.00","473.10","474.80","476.15","477.77","504.80","312.00",7768553,"3,711,583,243.95",106980
"02-Jun-2020","EQ","470.00","481.00","468.15","465.40","473.00","473.10","475.92","504.80","312.00",10978082,"5,224,660,445.15",148186
"01-Jun-2020","EQ","483.50","483.70","458.30","474.25","465.90","465.40","470.82","504.80","312.00",18563845,"8,740,206,995.55",213739
"29-May-2020","EQ","460.00","481.60","458.00","459.10","476.90","474.25","468.70","504.80","312.00",12663543,"5,935,464,135.35",170013
"28-May-2020","EQ","453.90","461.65","444.70","450.90","459.70","459.10","455.96","504.80","312.00",12633089,"5,760,144,532.20",156736
"27-May-2020","EQ","464.90","464.90","443.40","459.15","450.20","450.90","455.43","504.80","312.00",13253945,"6,036,293,521.45",198745
"26-May-2020","EQ","471.00","475.50","457.00","469.40","460.00","459.15","467.80","504.80","312.00",9801065,"4,584,906,415.50",143117
"22-May-2020","EQ","467.00","471.90","458.05","466.45","469.60","469.40","466.85","504.80","312.00",10194360,"4,759,202,348.00",133789
"21-May-2020","EQ","455.50","469.00","453.00","455.75","467.00","466.45","461.70","504.80","312.00",8988288,"4,149,865,269.60",161179
"20-May-2020","EQ","439.90","458.45","437.25","441.70","456.90","455.75","448.48","504.80","312.00",7967090,"3,573,094,726.55",111119
"19-May-2020","EQ","443.80","456.00","438.60","440.70","443.10","441.70","446.82","504.80","312.00",10126406,"4,524,675,093.70",160458
"18-May-2020","EQ","447.00","454.60","434.25","448.60","440.00","440.70","441.89","504.80","312.00",9067512,"4,006,840,195.90",149683
"15-May-2020","EQ","455.95","458.90","445.55","455.95","446.80","448.60","452.46","504.80","312.00",7863397,"3,557,838,994.75",96594
"14-May-2020","EQ","453.00","462.95","448.80","452.35","456.50","455.95","457.48","504.80","312.00",11764891,"5,382,257,481.35",164996
"13-May-2020","EQ","469.00","469.45","450.20","463.90","453.90","452.35","455.80","504.80","312.00",10010346,"4,562,712,128.25",163482
"12-May-2020","EQ","465.00","468.80","455.30","463.85","464.30","463.90","461.73","504.80","312.00",9507982,"4,390,084,052.90",127499
"11-May-2020","EQ","473.70","475.55","461.30","469.00","465.50","463.85","467.97","504.80","312.00",10294818,"4,817,683,071.65",182170
"08-May-2020","EQ","460.00","471.40","454.05","452.20","470.00","469.00","464.23","504.80","312.00",13693935,"6,357,178,311.00",201306
"07-May-2020","EQ","462.00","465.70","450.20","454.40","453.55","452.20","458.72","504.80","312.00",11216370,"5,145,132,335.45",155891
"06-May-2020","EQ","459.60","463.00","448.00","456.30","456.50","454.40","454.95","504.80","312.00",10829910,"4,927,088,357.45",181109
"05-May-2020","EQ","469.80","472.50","454.00","465.45","457.30","456.30","462.31","504.80","312.00",7852607,"3,630,346,217.60",105821
"04-May-2020","EQ","464.45","474.50","458.00","464.45","466.00","465.45","469.54","504.80","312.00",16097081,"7,558,168,770.75",218018
"30-Apr-2020","EQ","484.00","485.00","458.40","477.65","466.00","464.45","468.37","504.80","312.00",18471937,"8,651,674,740.95",248711
"29-Apr-2020","EQ","476.00","484.95","473.15","473.95","478.80","477.65","478.43","504.80","312.00",10166501,"4,863,934,540.90",121573
"28-Apr-2020","EQ","495.00","495.40","470.30","489.90","475.10","473.95","479.06","504.80","312.00",12847952,"6,154,904,852.00",168690
"27-Apr-2020","EQ","491.00","504.80","487.00","485.55","489.75","489.90","495.76","504.80","312.00",19311559,"9,573,882,063.25",256613
"24-Apr-2020","EQ","476.95","497.00","473.55","477.45","485.50","485.55","488.13","497.00","312.00",23394286,"11,419,353,958.10",270856
"23-Apr-2020","EQ","476.95","487.85","474.35","474.35","478.50","477.45","481.09","490.70","312.00",13748836,"6,614,369,526.00",179350
"22-Apr-2020","EQ","474.95","482.40","469.00","473.15","475.50","474.35","476.47","490.70","312.00",13336594,"6,354,473,105.90",195298
"21-Apr-2020","EQ","467.85","490.70","464.25","473.40","470.35","473.15","479.92","490.70","312.00",30022318,"14,408,188,549.05",354530
"20-Apr-2020","EQ","457.35","475.00","450.55","457.10","474.85","473.40","466.27","488.50","312.00",17894276,"8,343,567,565.00",198808
"17-Apr-2020","EQ","476.95","476.95","448.45","463.70","457.30","457.10","459.57","488.50","312.00",19774595,"9,087,893,401.75",231383
"16-Apr-2020","EQ","450.00","467.60","449.20","449.20","466.00","463.70","459.59","488.50","312.00",16933112,"7,782,361,760.85",236715
"15-Apr-2020","EQ","474.90","488.50","444.10","462.35","450.00","449.20","469.39","488.50","312.00",32508977,"15,259,261,040.10",427523
"13-Apr-2020","EQ","462.95","477.90","443.10","454.45","463.00","462.35","464.72","477.90","312.00",30510404,"14,178,666,669.75",361403
"09-Apr-2020","EQ","454.40","473.90","443.40","436.70","452.45","454.45","460.90","479.90","312.00",31863686,"14,686,105,866.80",408412
"08-Apr-2020","EQ","419.00","448.75","413.15","417.35","437.50","436.70","436.03","479.90","312.00",27810987,"12,126,523,142.55",433126
"07-Apr-2020","EQ","398.00","422.85","388.30","375.95","415.55","417.35","407.17","479.90","312.00",29675452,"12,082,876,093.15",343700
"03-Apr-2020","EQ","343.95","389.80","340.00","343.55","376.45","375.95","369.67","484.25","312.00",28550650,"10,554,231,364.55",338973
"01-Apr-2020","EQ","353.00","355.25","338.40","352.30","344.35","343.55","344.57","484.25","312.00",6702259,"2,309,378,542.30",94680
"31-Mar-2020","EQ","340.10","355.00","328.25","332.70","353.25","352.30","343.95","484.25","312.00",9954246,"3,423,744,741.40",131072
"30-Mar-2020","EQ","321.65","344.00","312.00","338.25","332.55","332.70","334.25","484.25","312.00",11648309,"3,893,470,175.15",143583
"27-Mar-2020","EQ","347.00","352.50","333.00","338.30","338.30","338.25","341.42","484.25","315.05",7745785,"2,644,590,217.25",111490
"26-Mar-2020","EQ","365.00","368.00","336.10","347.65","338.80","338.30","348.14","484.25","315.05",11670467,"4,062,946,057.80",168355
"25-Mar-2020","EQ","332.00","350.80","329.55","335.15","343.95","347.65","339.90","484.25","315.05",6174391,"2,098,694,157.50",105868
"24-Mar-2020","EQ","330.00","348.00","330.00","324.50","334.00","335.15","340.24","484.25","315.05",6408587,"2,180,469,462.65",110071
"23-Mar-2020","EQ","345.00","354.70","315.05","365.25","332.00","324.50","333.76","484.25","315.05",8018903,"2,676,357,691.35",110889
"20-Mar-2020","EQ","365.20","379.50","362.20","360.40","363.05","365.25","370.57","484.25","325.00",10631944,"3,939,883,268.30",159028
"19-Mar-2020","EQ","351.70","374.45","347.65","362.75","361.30","360.40","362.17","484.25","325.00",8728105,"3,161,099,064.30",168016
"18-Mar-2020","EQ","383.40","386.40","355.10","370.15","366.75","362.75","369.47","484.25","325.00",12342705,"4,560,217,675.35",201026
"17-Mar-2020","EQ","376.00","395.60","364.20","368.55","371.00","370.15","383.84","484.25","325.00",12903647,"4,952,926,425.90",193522
"16-Mar-2020","EQ","376.00","396.40","362.80","384.20","370.00","368.55","377.06","484.25","325.00",14480706,"5,460,138,953.40",168078
"13-Mar-2020","EQ","341.00","402.95","325.00","354.80","386.00","384.20","383.27","484.25","325.00",15802656,"6,056,719,413.00",212119
"12-Mar-2020","EQ","365.50","372.70","346.40","385.95","357.45","354.80","357.70","484.25","344.55",11663067,"4,171,832,530.20",126274
"11-Mar-2020","EQ","394.40","395.25","380.05","393.35","386.85","385.95","386.99","484.25","344.55",9127364,"3,532,178,058.15",107037
"09-Mar-2020","EQ","396.05","403.90","385.55","400.90","393.00","393.35","394.67","484.25","344.55",13152861,"5,191,013,676.80",101814
"06-Mar-2020","EQ","390.05","403.20","390.05","404.90","400.10","400.90","398.45","484.25","344.55",6500912,"2,590,277,927.25",81949
"05-Mar-2020","EQ","409.95","414.80","401.75","405.45","404.50","404.90","408.26","484.25","344.55",9874059,"4,031,203,675.50",106590
"04-Mar-2020","EQ","398.00","412.90","387.35","393.55","404.50","405.45","403.52","484.25","344.55",26369149,"10,640,594,992.05",271057
