"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","807.00","830.00","784.30","804.65","789.60","787.25","814.49","845.90","471.40",10789252,"8,787,687,746.65",154482
"18-Sep-2020","EQ","793.00","808.80","788.00","786.95","807.90","804.65","802.54","845.90","471.40",6281494,"5,041,162,029.60",119359
"17-Sep-2020","EQ","788.00","811.45","781.30","792.00","787.50","786.95","797.22","845.90","471.40",7591229,"6,051,849,563.75",150255
"16-Sep-2020","EQ","792.00","794.25","784.00","791.15","790.55","792.00","789.12","845.90","471.40",4279453,"3,376,986,727.50",123812
"15-Sep-2020","EQ","790.75","803.10","775.00","790.75","790.00","791.15","790.81","845.90","471.40",6339804,"5,013,555,859.05",135100
"14-Sep-2020","EQ","770.15","796.60","770.00","765.15","790.00","790.75","787.48","845.90","471.40",9022087,"7,104,673,499.80",139733
"11-Sep-2020","EQ","749.40","770.60","747.50","750.00","763.70","765.15","762.20","845.90","471.40",4918291,"3,748,723,223.10",80874
"10-Sep-2020","EQ","756.65","758.40","739.30","753.35","751.15","750.00","747.77","845.90","471.40",3737568,"2,794,824,650.45",85985
"09-Sep-2020","EQ","751.95","759.95","744.70","752.25","751.50","753.35","752.19","845.90","471.40",3038406,"2,285,466,126.00",54467
"08-Sep-2020","EQ","748.50","769.00","745.00","747.10","754.00","752.25","758.52","845.90","471.40",5237384,"3,972,647,747.00",81489
"07-Sep-2020","EQ","749.70","751.90","734.05","748.20","746.95","747.10","743.34","845.90","471.40",3367905,"2,503,508,647.25",77138
"04-Sep-2020","EQ","747.00","758.40","743.55","759.55","749.70","748.20","750.78","845.90","471.40",2954870,"2,218,450,149.40",60378
"03-Sep-2020","EQ","739.95","762.00","733.10","735.20","761.00","759.55","752.31","845.90","471.40",4606252,"3,465,348,709.25",96237
"02-Sep-2020","EQ","730.15","745.75","728.15","727.85","735.30","735.20","736.64","845.90","471.40",3467486,"2,554,280,276.90",72344
"01-Sep-2020","EQ","739.00","752.60","722.70","741.00","735.80","727.85","736.74","845.90","471.40",3563913,"2,625,681,887.35",59434
"31-Aug-2020","EQ","759.70","774.70","732.10","752.35","740.00","741.00","754.71","845.90","471.40",7224585,"5,452,483,565.10",122886
"28-Aug-2020","EQ","741.00","758.35","740.00","735.60","751.90","752.35","752.04","845.90","471.40",4223382,"3,176,154,312.20",97099
"27-Aug-2020","EQ","735.00","746.35","732.45","732.85","736.00","735.60","739.35","845.90","471.40",3207128,"2,371,184,441.00",81726
"26-Aug-2020","EQ","740.95","741.00","727.00","738.60","731.05","732.85","732.40","845.90","471.40",3157124,"2,312,292,230.45",65062
"25-Aug-2020","EQ","727.00","740.35","714.35","722.50","738.95","738.60","728.27","845.90","471.40",4586918,"3,340,502,771.75",76087
"24-Aug-2020","EQ","734.95","734.95","719.25","732.60","725.40","722.50","725.44","845.90","471.40",2385907,"1,730,822,951.10",61484
"21-Aug-2020","EQ","731.00","736.65","730.00","726.40","731.45","732.60","733.73","845.90","471.40",4207709,"3,087,337,409.15",63766
"20-Aug-2020","EQ","720.00","732.00","716.20","726.70","725.10","726.40","725.74","845.90","471.40",6610632,"4,797,628,831.15",102162
"19-Aug-2020","EQ","715.00","729.00","709.00","713.05","729.00","726.70","722.80","845.90","471.40",6507682,"4,703,743,906.50",126413
"18-Aug-2020","EQ","725.00","728.00","710.20","721.05","714.50","713.05","716.05","845.90","471.40",4752247,"3,402,866,315.90",102239
"17-Aug-2020","EQ","704.80","724.40","698.65","695.90","723.45","721.05","711.86","845.90","471.40",7657252,"5,450,909,544.05",95739
"14-Aug-2020","EQ","692.00","711.00","692.00","697.05","693.30","695.90","702.80","845.90","471.40",6476600,"4,551,779,824.25",119174
"13-Aug-2020","EQ","695.90","705.80","684.30","692.05","699.00","697.05","696.31","845.90","471.40",7108877,"4,949,964,234.95",108134
"12-Aug-2020","EQ","675.00","694.00","672.65","674.80","693.95","692.05","684.17","845.90","471.40",4355483,"2,979,896,810.50",80575
"11-Aug-2020","EQ","690.10","693.95","672.10","681.85","678.95","674.80","683.19","845.90","471.40",4331864,"2,959,495,156.50",58893
"10-Aug-2020","EQ","668.00","687.35","662.70","662.45","684.00","681.85","675.92","845.90","471.40",5362306,"3,624,493,927.40",78293
"07-Aug-2020","EQ","657.75","668.00","654.40","660.35","664.00","662.45","662.70","845.90","471.40",3823898,"2,534,102,835.60",68997
"06-Aug-2020","EQ","656.00","666.85","649.15","648.55","660.50","660.35","658.15","845.90","471.40",8644011,"5,689,067,464.65",98737
"05-Aug-2020","EQ","655.00","661.50","642.55","652.65","649.45","648.55","651.64","845.90","471.40",5139376,"3,349,034,193.95",69654
"04-Aug-2020","EQ","675.00","676.65","650.20","673.60","654.80","652.65","657.23","845.90","471.40",5559111,"3,653,595,371.05",112475
"03-Aug-2020","EQ","685.95","686.95","669.55","681.65","674.50","673.60","677.04","845.90","471.40",3092997,"2,094,081,559.60",59410
"31-Jul-2020","EQ","678.45","685.45","673.50","674.75","681.95","681.65","679.96","845.90","471.40",3114816,"2,117,960,428.70",65788
"30-Jul-2020","EQ","680.00","687.35","669.55","676.40","673.00","674.75","680.08","845.90","471.40",5126995,"3,486,778,107.35",84018
"29-Jul-2020","EQ","686.95","695.25","671.00","684.35","674.50","676.40","678.15","845.90","471.40",5436739,"3,686,922,107.65",94097
"28-Jul-2020","EQ","670.00","702.75","667.00","664.55","688.85","684.35","686.66","845.90","471.40",23296517,"15,996,800,353.45",290457
"27-Jul-2020","EQ","657.00","671.75","642.80","652.60","663.50","664.55","662.97","845.90","471.40",11522408,"7,638,956,469.75",146680
"24-Jul-2020","EQ","632.50","655.40","625.25","632.45","654.90","652.60","642.61","845.90","471.40",12277458,"7,889,580,554.80",173864
"23-Jul-2020","EQ","612.95","634.60","607.00","617.95","634.20","632.45","623.58","845.90","471.40",5038614,"3,141,989,143.00",79873
"22-Jul-2020","EQ","618.00","626.45","611.55","620.70","616.90","617.95","618.27","845.90","471.40",2879839,"1,780,505,447.05",51087
"21-Jul-2020","EQ","630.00","631.80","615.35","622.85","620.00","620.70","621.74","845.90","471.40",4218958,"2,623,087,942.80",75159
"20-Jul-2020","EQ","603.85","625.95","598.50","599.70","625.50","622.85","610.51","845.90","471.40",5461611,"3,334,376,560.20",88385
"17-Jul-2020","EQ","604.35","604.35","590.20","599.40","600.00","599.70","597.66","845.90","471.40",3307397,"1,976,692,356.25",60615
"16-Jul-2020","EQ","627.00","638.95","588.10","615.30","598.95","599.40","611.88","845.90","471.40",13010078,"7,960,611,620.60",219173
"15-Jul-2020","EQ","604.00","630.00","602.00","598.30","615.00","615.30","620.56","845.90","471.40",11907668,"7,389,428,219.55",163399
"14-Jul-2020","EQ","594.95","603.80","592.55","600.05","598.50","598.30","597.88","845.90","471.40",5525648,"3,303,677,609.05",100616
"13-Jul-2020","EQ","571.95","601.80","570.50","569.00","600.50","600.05","592.89","845.90","471.40",11008262,"6,526,717,326.00",139715
"10-Jul-2020","EQ","572.00","572.00","561.35","577.30","566.80","569.00","567.43","845.90","471.40",3959576,"2,246,771,096.25",70328
"09-Jul-2020","EQ","583.45","587.70","572.05","583.45","576.45","577.30","578.65","845.90","471.40",2498149,"1,445,556,999.60",47349
"08-Jul-2020","EQ","589.95","593.90","576.10","586.85","581.70","583.45","584.86","845.90","471.40",3391025,"1,983,288,542.20",75095
"07-Jul-2020","EQ","583.85","592.50","577.10","581.55","586.00","586.85","586.65","845.90","471.40",5126702,"3,007,603,926.25",104555
"06-Jul-2020","EQ","574.95","588.00","573.05","567.20","580.70","581.55","581.54","845.90","471.40",4909648,"2,855,177,731.60",103858
"03-Jul-2020","EQ","565.90","572.25","561.05","560.85","565.35","567.20","565.93","845.90","471.40",4007492,"2,267,963,345.30",112355
"02-Jul-2020","EQ","549.90","562.50","542.50","545.90","562.50","560.85","554.33","845.90","471.40",5966758,"3,307,566,871.05",156600
"01-Jul-2020","EQ","544.00","547.35","536.05","543.40","546.75","545.90","542.17","845.90","471.40",3662565,"1,985,749,688.80",106942
"30-Jun-2020","EQ","547.00","548.90","541.55","541.55","543.60","543.40","545.10","845.90","471.40",2357985,"1,285,332,084.10",64777
"29-Jun-2020","EQ","558.90","558.90","539.20","560.85","543.00","541.55","545.73","845.90","471.40",3304988,"1,803,641,067.35",85338
"26-Jun-2020","EQ","555.50","574.95","552.60","554.15","559.00","560.85","566.20","845.90","471.40",5289122,"2,994,715,037.45",105569
"25-Jun-2020","EQ","558.00","565.60","552.05","560.95","554.05","554.15","558.90","845.90","471.40",2386985,"1,334,081,238.05",72275
"24-Jun-2020","EQ","558.80","566.00","554.40","558.80","561.00","560.95","561.07","845.90","471.40",3500487,"1,964,016,345.70",86027
"23-Jun-2020","EQ","548.00","560.10","544.55","548.50","557.50","558.80","555.09","845.90","471.40",4438916,"2,464,012,061.45",111062
